,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,lat,lon
0,Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus,04/03/2019,6000,8000,7000,10.7056905,92.48746789633371
1,Andaman and Nicobar,South Andaman,Port Blair,Banana - Green,Banana - Green,04/03/2019,4500,5500,5000,10.7056905,92.48746789633371
2,Andaman and Nicobar,South Andaman,Port Blair,Bhindi(Ladies Finger),Bhindi,04/03/2019,6000,8000,7000,10.7056905,92.48746789633371
3,Andaman and Nicobar,South Andaman,Port Blair,Bitter gourd,Other,04/03/2019,6000,8000,7000,10.7056905,92.48746789633371
4,Andaman and Nicobar,South Andaman,Port Blair,Black pepper,Other,04/03/2019,110000,130000,120000,10.7056905,92.48746789633371
5,Andaman and Nicobar,South Andaman,Port Blair,Bottle gourd,Other,04/03/2019,3000,4000,3500,10.7056905,92.48746789633371
6,Andaman and Nicobar,South Andaman,Port Blair,Brinjal,Other,04/03/2019,7000,8000,7500,10.7056905,92.48746789633371
7,Andaman and Nicobar,South Andaman,Port Blair,Cabbage,Other,04/03/2019,6000,7000,6500,10.7056905,92.48746789633371
8,Andaman and Nicobar,South Andaman,Port Blair,Carrot,Other,04/03/2019,9000,11000,10000,10.7056905,92.48746789633371
9,Andaman and Nicobar,South Andaman,Port Blair,Cauliflower,Other,04/03/2019,10000,12000,11000,10.7056905,92.48746789633371
10,Andaman and Nicobar,South Andaman,Port Blair,Cluster beans,Cluster Beans,04/03/2019,8000,10000,9000,10.7056905,92.48746789633371
11,Andaman and Nicobar,South Andaman,Port Blair,Coconut,Big,04/03/2019,5400,6000,5600,10.7056905,92.48746789633371
12,Andaman and Nicobar,South Andaman,Port Blair,Colacasia,Other,04/03/2019,5000,7000,6000,10.7056905,92.48746789633371
13,Andaman and Nicobar,South Andaman,Port Blair,Onion,Other,04/03/2019,2000,3500,3000,10.7056905,92.48746789633371
14,Andaman and Nicobar,South Andaman,Port Blair,Potato,Other,04/03/2019,2000,3500,3000,10.7056905,92.48746789633371
15,Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,04/03/2019,400,960,620,13.2162432,79.10507861737211
16,Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,04/03/2019,200,500,300,13.2162432,79.10507861737211
17,Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,04/03/2019,400,1120,760,13.2162432,79.10507861737211
18,Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),04/03/2019,4500,4700,4600,15.830925099999998,78.0425373
19,Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),04/03/2019,1800,1950,1900,15.830925099999998,78.0425373
20,Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,04/03/2019,1900,2000,1950,15.830925099999998,78.0425373
21,Andhra Pradesh,West Godavari,Attili,Paddy(Dhan)(Common),Paddy,04/03/2019,1750,1770,1760,17.0,81.166667
22,Assam,Cachar,Cachar,Lentil (Masur)(Whole),Masur Dal,04/03/2019,5200,7200,7000,24.758639950000006,92.8816647576822
23,Assam,Cachar,Cachar,Rice,Common,04/03/2019,2200,2500,2400,24.758639950000006,92.8816647576822
24,Assam,Cachar,Cachar,Rice,Fine,04/03/2019,2500,3000,2800,24.758639950000006,92.8816647576822
25,Assam,Darrang,Kharupetia,Bitter gourd,Bitter Gourd,04/03/2019,6000,6500,6400,26.75,92.5
26,Assam,Darrang,Kharupetia,Bottle gourd,Bottle Gourd,04/03/2019,800,900,850,26.75,92.5
27,Assam,Darrang,Kharupetia,Brinjal,Round,04/03/2019,800,900,850,26.75,92.5
28,Assam,Darrang,Kharupetia,Cabbage,Cabbage,04/03/2019,300,400,350,26.75,92.5
29,Assam,Darrang,Kharupetia,Carrot,Carrot,04/03/2019,1000,1100,1050,26.75,92.5
30,Assam,Darrang,Kharupetia,Cauliflower,Local,04/03/2019,1400,1500,1450,26.75,92.5
31,Assam,Darrang,Kharupetia,Cluster beans,Cluster Beans,04/03/2019,4000,4200,4100,26.75,92.5
32,Assam,Darrang,Kharupetia,Cucumbar(Kheera),Cucumbar,04/03/2019,1500,1600,1550,26.75,92.5
33,Assam,Darrang,Kharupetia,Field Pea,Field Pea,04/03/2019,2800,3000,2900,26.75,92.5
34,Assam,Darrang,Kharupetia,French Beans (Frasbean),French Beans (Frasbean),04/03/2019,2200,2300,2250,26.75,92.5
35,Assam,Darrang,Kharupetia,Green Chilli,Green Chilly,04/03/2019,3500,3700,3600,26.75,92.5
36,Assam,Darrang,Kharupetia,Knool Khol,Knool Khol,04/03/2019,900,1000,950,26.75,92.5
37,Assam,Darrang,Kharupetia,Potato,Badshah,04/03/2019,600,700,650,26.75,92.5
38,Assam,Darrang,Kharupetia,Pumpkin,Pumpkin,04/03/2019,600,700,650,26.75,92.5
39,Assam,Darrang,Kharupetia,Raddish,Raddish,04/03/2019,800,900,850,26.75,92.5
40,Assam,Darrang,Kharupetia,Tomato,Hybrid,04/03/2019,1100,1200,1150,26.75,92.5
41,Assam,Dhubri,Gauripur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),04/03/2019,4300,4425,4400,26.01894625,89.9418895246152
42,Assam,Dhubri,Gauripur,Green Gram (Moong)(Whole),Green (Whole),04/03/2019,6300,6640,6400,26.01894625,89.9418895246152
43,Assam,Dhubri,Gauripur,Jute,TD-5,04/03/2019,2700,3700,2800,26.01894625,89.9418895246152
44,Assam,Dhubri,Gauripur,Maida Atta,Maida Atta,04/03/2019,2260,2550,2370,26.01894625,89.9418895246152
45,Assam,Dhubri,Gauripur,Mustard,Mustard,04/03/2019,2300,2550,2400,26.01894625,89.9418895246152
46,Assam,Dhubri,Gauripur,Rice,Fine,04/03/2019,3500,5000,4500,26.01894625,89.9418895246152
47,Assam,Dhubri,Gauripur,Rice,Medium,04/03/2019,1800,3000,2500,26.01894625,89.9418895246152
48,Assam,Dhubri,Gauripur,Wheat Atta,Wheat Atta,04/03/2019,2200,2400,2300,26.01894625,89.9418895246152
49,Assam,Jorhat,Jorhat,Garlic,Garlic,04/03/2019,3500,6000,5000,26.757792499999997,94.2079645
50,Assam,Jorhat,Jorhat,Green Gram (Moong)(Whole),Green (Whole),04/03/2019,6200,6800,6600,26.757792499999997,94.2079645
51,Assam,Jorhat,Jorhat,Masur Dal,Masur Dal,04/03/2019,5200,6600,6200,26.757792499999997,94.2079645
52,Assam,Jorhat,Jorhat,Onion,Onion,04/03/2019,1150,1250,1200,26.757792499999997,94.2079645
53,Assam,Jorhat,Jorhat,Potato,Potato,04/03/2019,500,580,550,26.757792499999997,94.2079645
54,Assam,Jorhat,Jorhat,Rice,Common,04/03/2019,2500,7000,3200,26.757792499999997,94.2079645
55,Assam,Jorhat,Jorhat,Wheat Atta,Wheat Atta,04/03/2019,2600,3200,2800,26.757792499999997,94.2079645
56,Assam,Kamrup,Pamohi(Garchuk),Bitter gourd,Bitter Gourd,04/03/2019,5000,6000,5500,26.12755515,91.2998714797357
57,Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,04/03/2019,1200,1400,1300,26.12755515,91.2998714797357
58,Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,04/03/2019,300,600,500,26.12755515,91.2998714797357
59,Assam,Kamrup,Pamohi(Garchuk),Carrot,Carrot,04/03/2019,700,1200,1000,26.12755515,91.2998714797357
60,Assam,Kamrup,Pamohi(Garchuk),Cauliflower,Cauliflower,04/03/2019,1800,2000,1900,26.12755515,91.2998714797357
61,Assam,Kamrup,Pamohi(Garchuk),Cucumbar(Kheera),Cucumbar,04/03/2019,1600,2200,2000,26.12755515,91.2998714797357
62,Assam,Kamrup,Pamohi(Garchuk),Garlic,Garlic,04/03/2019,4000,5000,4500,26.12755515,91.2998714797357
63,Assam,Kamrup,Pamohi(Garchuk),Green Chilli,Green Chilly,04/03/2019,1500,3000,1600,26.12755515,91.2998714797357
64,Assam,Kamrup,Pamohi(Garchuk),Onion,Onion,04/03/2019,950,1150,1100,26.12755515,91.2998714797357
65,Assam,Kamrup,Pamohi(Garchuk),Potato,Potato,04/03/2019,600,750,700,26.12755515,91.2998714797357
66,Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,04/03/2019,800,1000,900,26.12755515,91.2998714797357
67,Assam,Kamrup,Pamohi(Garchuk),Raddish,Raddish,04/03/2019,1000,1200,1100,26.12755515,91.2998714797357
68,Assam,Kamrup,Pamohi(Garchuk),Ridgeguard(Tori),Ridgeguard(Tori),04/03/2019,4000,4200,4100,26.12755515,91.2998714797357
